V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	90	0	0	1	0	0	0	0	0	0	11	8	1	5
V2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V3	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
V4	90	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0
V5	0	0	0	0	0	8	6	0	0	1	0	9	6	0	0	0	0
V6	0	0	0	2	8	0	0	0	0	0	0	0	7	0	0	0	0
V7	1	0	0	0	6	0	0	0	6	0	0	0	0	1	0	0	0
V8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0
V9	0	0	1	0	0	0	6	0	0	0	4	0	0	0	0	0	0
V10	0	0	0	0	1	0	0	0	0	0	0	0	0	11	4	0	0
V11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
V12	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0
V13	0	0	0	0	6	7	0	0	0	0	0	2	0	0	0	0	0
V14	11	0	0	1	0	0	1	0	0	11	0	0	0	0	0	0	0
V15	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	9
V16	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	45
V17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	45	0
