V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	11	1	0	0	0	90	0	6	8	0	0	0	0	1	0
V2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
V3	11	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0
V4	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
V5	0	0	1	0	0	0	0	0	0	2	0	0	11	0	4	0	7
V6	0	0	10	1	0	0	0	0	0	0	9	0	0	5	0	0	0
V7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
V8	90	0	0	0	0	0	10	0	0	0	0	0	0	0	0	7	0
V9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
V10	6	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
V11	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
V12	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
V13	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0
V14	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	6	45
V15	0	0	0	0	4	0	0	0	0	0	0	0	3	5	0	0	0
V16	1	0	0	0	0	0	0	7	0	0	0	0	0	6	0	0	0
V17	0	0	0	1	7	0	0	0	0	0	0	0	0	45	0	0	0
