V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	5	1	5	0	0	0	90	0	0	0	0	8	0	1	0
V2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0
V3	5	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
V4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
V5	5	0	0	1	0	0	0	0	0	0	0	0	0	1	2	7	0
V6	0	0	7	1	0	0	0	8	0	0	0	0	0	0	0	0	0
V7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
V8	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
V9	90	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
V10	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0
V11	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3
V12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
V13	0	0	0	0	0	0	0	0	0	6	1	0	0	0	6	0	0
V14	8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	45
V15	0	0	0	1	2	0	0	0	0	0	0	0	6	0	0	0	0
V16	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
V17	0	0	0	0	0	0	0	0	0	0	3	1	0	45	0	0	0
