V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	1	0	6	0	0	0	0	4	0	0	1	90	7	0	0
V2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
V3	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0
V4	0	0	0	0	1	0	1	0	0	8	0	0	0	1	0	0	0
V5	6	0	0	1	0	0	0	6	0	0	0	0	5	0	6	0	0
V6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0
V7	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	7	0
V8	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	6
V9	0	0	0	0	0	0	0	0	0	0	6	0	0	6	0	0	0
V10	4	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0
V11	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0
V12	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0
V13	1	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0
V14	90	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	45
V15	7	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0
V16	0	0	0	0	0	1	7	0	0	0	5	0	0	0	0	0	0
V17	0	6	0	0	0	0	0	6	0	0	0	0	0	45	0	0	0
