V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	1	0	9	1	7	0	2	0	0	90	0	0	0	0
V2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
V3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1
V4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
V5	0	0	0	1	0	0	0	0	0	0	0	0	9	2	0	4	2
V6	9	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	4
V7	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
V8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V9	0	0	0	0	0	0	0	0	0	0	0	6	0	11	0	0	0
V10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
V11	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
V12	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	45	0
V13	90	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
V14	0	0	0	0	2	11	0	0	11	0	4	0	0	0	0	0	0
V15	0	10	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0
V16	0	0	0	1	4	0	0	0	0	0	0	45	0	0	0	0	0
V17	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0
