V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	1	0	4	0	0	0	0	1	0	0	0	6	0	5	90	0
V2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
V3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
V4	4	0	7	0	1	0	0	0	0	0	0	0	0	1	0	0	0
V5	0	0	0	1	0	0	6	0	10	0	6	1	0	0	0	0	0
V6	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
V7	0	0	0	0	6	10	0	0	0	4	5	0	0	0	0	0	0
V8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
V9	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
V10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
V11	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0
V12	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0
V13	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9
V14	0	3	0	1	0	0	0	0	0	0	0	0	0	0	10	0	10
V15	5	0	0	0	0	0	0	0	0	0	0	0	0	10	0	45	0
V16	90	1	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0
V17	0	0	0	0	0	0	0	5	0	0	0	0	9	10	0	0	0
