V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	0	0	1	6	0	1	0	0	0	0	6	90	6	0
V2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
V3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
V4	0	0	0	0	9	0	0	1	0	0	0	0	0	0	1	0	1
V5	0	0	6	9	0	0	0	0	9	0	0	0	10	0	0	2	0
V6	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	0
V7	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	6
V8	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0
V9	1	0	0	0	9	0	0	0	0	0	0	0	0	8	0	0	0
V10	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
V11	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	8
V12	0	0	0	0	0	0	0	6	0	0	0	0	0	45	0	0	0
V13	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0
V14	6	0	0	0	0	4	0	0	8	0	0	45	0	0	0	0	0
V15	90	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
V16	6	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0
V17	0	0	0	1	0	0	6	0	0	0	8	0	0	0	0	0	0
