V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	1	7	0	0	0	0	2	0	1	0	10	0	90	0
V2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
V3	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0
V4	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
V5	7	0	0	0	0	4	1	0	0	0	0	9	4	0	0	0	0
V6	0	0	0	1	4	0	0	0	0	0	0	0	6	0	0	4	0
V7	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	4
V8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0
V10	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
V11	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
V12	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
V13	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	8
V14	10	0	8	0	0	0	0	0	3	0	0	0	0	0	2	0	0
V15	0	0	0	0	0	0	0	0	6	2	0	0	0	2	0	0	0
V16	90	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	45
V17	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	45	0
