V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	8	0	90	0	0	0	0	0	10	0	1	1	11	0
V2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V3	0	9	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0
V4	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
V5	0	0	0	1	0	1	0	0	0	7	0	0	0	8	8	0	0
V6	90	0	0	0	1	0	0	0	0	0	0	11	0	11	0	0	0
V7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
V8	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0
V9	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
V10	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0
V11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
V12	10	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
V13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	2
V14	1	0	0	0	8	11	0	8	0	0	0	0	0	0	0	0	0
V15	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	45
V16	11	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0
V17	0	0	0	1	0	0	0	0	0	0	0	0	2	0	45	0	0
