V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	7	1	0	90	0	0	0	0	0	0	7	0	1	11
V2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
V3	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0
V4	7	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
V5	1	0	0	0	0	4	0	8	5	0	4	0	0	0	0	0	0
V6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
V7	90	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V8	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0
V9	0	0	0	0	5	0	0	0	0	9	0	0	0	10	0	0	0
V10	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	9
V11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	0	0
V12	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0
V13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
V14	7	0	0	1	0	0	0	0	10	0	0	8	0	0	0	0	0
V15	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	4	0
V16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	45
V17	11	0	0	0	0	0	0	0	0	9	0	0	0	0	0	45	0
