V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	1	0	0	0	0	0	90	1	0	6	10	7	0	0	0
V2	0	0	0	0	1	0	0	8	0	0	10	0	0	0	0	0	0
V3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V4	0	0	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0
V5	0	1	0	0	0	0	0	0	0	6	0	1	0	1	10	0	0
V6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
V7	0	0	0	3	0	0	0	0	11	0	0	0	0	0	4	4	0
V8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V9	90	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
V10	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
V11	0	10	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0
V12	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
V13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
V14	7	0	0	1	1	0	0	0	0	0	11	0	0	0	0	0	0
V15	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	1
V16	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	45
V17	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	45	0
