V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	90	1	1	0	0	1	0	0	0	0	0	0	11	6	0
V2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
V3	90	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0
V4	1	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0
V5	1	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	2
V6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
V7	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	11	0
V8	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8
V9	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0
V10	0	0	1	0	0	0	0	0	0	0	0	0	3	6	0	0	0
V11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
V12	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	0	0
V13	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	45	0
V14	0	0	0	0	3	0	5	0	0	6	0	5	0	0	0	0	0
V15	11	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
V16	6	0	0	0	0	0	11	0	0	0	0	0	45	0	0	0	0
V17	0	2	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0
