V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
V1	0	0	0	0	3	0	0	0	0	1	0	0	90	1	0	8	9
V2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
V3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0
V4	0	0	0	0	9	0	1	1	0	1	0	0	0	0	0	0	0
V5	3	0	0	9	0	0	8	0	0	0	0	0	0	2	0	0	10
V6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
V7	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0
V8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
V9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
V10	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0
V11	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
V12	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0
V13	90	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
V14	1	1	0	0	2	0	0	0	0	0	0	0	0	0	45	0	0
V15	0	0	0	0	0	9	0	0	0	0	0	3	0	45	0	0	0
V16	8	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0
V17	9	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0
